,Unnamed: 0,Time Serie,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,AUS_pct,SWTZ_pct,AUS_CDF,SWTZ_CDF
2795,2795,2010-09-20,1.055,0.7649,1.3702,0.6425,1.7158,1.028,6.7135,7.7634,45.65,1160.5,12.771,7.118,1.3331,5.6958,85.74,3.1015,6.0453,6.9909,112.35,1.005,31.63,30.72,-1.0597392853793575,-0.4161712247324867,-25.14993415343866,-38.72738224837603
2796,2796,2010-09-21,1.0554,0.7613,1.3732,0.643,1.7276,1.0314,6.7059,7.7617,45.59,1160.0,12.7638,7.1208,1.3315,5.6706,85.36,3.1,6.0279,6.9669,112.36,1.0038,31.58,30.8,0.03791469194311947,-0.11940298507461256,-25.112019461495542,-38.846785233450646
2797,2797,2010-09-22,1.0487,0.7471,1.3598,0.639,1.7226,1.0325,6.7035,7.7581,45.56,1150.0,12.696,7.0236,1.3258,5.5652,84.37,3.09,5.9048,6.8608,112.36,0.9865,31.52,30.62,-0.6348303960583612,-1.7234508866308063,-25.746849857553904,-40.570236120081454
2798,2798,2010-09-23,1.0484,0.7494,1.3661,0.636,1.7187,1.0307,6.7046,7.7591,45.56,1150.65,12.6413,7.028,1.3262,5.583,84.32,3.093,5.9325,6.8868,112.35,0.9843,31.54,30.68,-0.028606846571943567,-0.22301064368982493,-25.775456704125848,-40.79324676377128
2799,2799,2010-09-24,1.0434,0.7421,1.3624,0.6318,1.7119,1.0262,6.7035,7.7561,45.1,1154.2,12.5485,7.0045,1.3226,5.5285,84.24,3.092,5.8865,6.82,112.15,0.9828,31.34,30.65,-0.47691720717282227,-0.15239256324290906,-26.25237391129867,-40.94563932701419
2800,2800,2010-09-27,1.0393,0.7421,1.3605,0.6309,1.7089,1.026,6.6911,7.7579,44.94,1146.0,12.5176,7.0042,1.3217,5.5272,84.17,3.09,5.9018,6.838,111.75,0.9831,31.35,30.55,-0.3929461376270038,0.030525030525030417,-26.645320048925672,-40.915114296489165
2801,2801,2010-09-28,1.0338,0.7362,1.3537,0.6326,1.7071,1.0305,6.6904,7.7578,45.04,1145.5,12.4926,6.9754,1.318,5.4862,83.82,3.0915,5.8563,6.7649,111.75,0.9756,31.41,30.54,-0.5292023477340368,-0.7628928898382625,-27.17452239665971,-41.67800718632743
2802,2802,2010-09-29,1.0294,0.7332,1.3546,0.6324,1.7039,1.03,6.6869,7.7574,44.8,1139.0,12.4885,6.9572,1.315,5.4643,83.61,3.084,5.8378,6.7144,111.74,0.9752,31.15,30.44,-0.425614238730887,-0.04100041000411059,-27.600136635390598,-41.71900759633154
2803,2803,2010-09-30,1.0373,0.7352,1.3644,0.6357,1.696,1.0293,6.6905,7.7599,44.56,1140.1,12.627,6.9509,1.3162,5.4791,83.53,3.086,5.8952,6.7626,111.7,0.9808,31.19,30.32,0.7674373421410641,0.5742411812961423,-26.832699293249533,-41.14476641503539
2804,2804,2010-10-01,1.0299,0.7271,1.3472,0.6318,1.681,1.0214,6.6895,7.7573,44.41,1130.25,12.5433,6.932,1.3117,5.4182,83.3,3.085,5.8379,6.7117,111.75,0.9761,31.3,30.15,-0.7133905331148216,-0.47920065252855526,-27.546089826364355,-41.623967067563946
2805,2805,2010-10-04,1.0346,0.7306,1.349,0.631,1.6887,1.0235,6.6912,7.7579,44.55,1122.25,12.6081,7.021,1.3143,5.4449,83.33,3.09,5.8743,6.7725,111.7,0.9723,31.24,30.11,0.45635498592095924,-0.3893043745517799,-27.089734840443395,-42.01327144211572
2806,2806,2010-10-05,1.031,0.7229,1.3358,0.6283,1.6733,1.0169,6.6906,7.7558,44.46,1129.85,12.5141,6.8857,1.3098,5.3867,83.17,3.095,5.8178,6.7018,111.58,0.9663,31.06,30.09,-0.34796056446936285,-0.6170934896636893,-27.43769540491276,-42.63036493177941
2807,2807,2010-10-06,1.0224,0.7182,1.3252,0.6288,1.6721,1.0073,6.6893,7.7552,44.25,1117.4,12.48,6.845,1.3072,5.3516,82.8,3.093,5.7744,6.6991,111.7,0.9604,30.86,29.9,-0.8341416100872912,-0.6105764255407209,-28.27183701500005,-43.24094135732013
2808,2808,2010-10-07,1.0188,0.7183,1.334,0.6277,1.6798,1.0167,6.6903,7.7527,44.21,1114.0,12.5452,6.89,1.3075,5.3542,82.35,3.089,5.8135,6.6572,111.68,0.9667,30.74,29.93,-0.35211267605633756,0.6559766763848396,-28.623949691056385,-42.58496468093529
2809,2809,2010-10-08,1.0136,0.7182,1.3254,0.6269,1.6748,1.0138,6.671,7.7567,44.39,1120.7,12.4671,6.8415,1.3055,5.3552,81.86,3.113,5.8199,6.673,111.65,0.9609,30.84,29.95,-0.5104043973301775,-0.5999793110582408,-29.134354088386562,-43.184943991993535
2811,2811,2010-10-12,1.0154,0.7222,1.327,0.633,1.6697,1.0111,6.6733,7.7586,44.55,1130.15,12.4285,6.871,1.306,5.3852,81.74,3.107,5.8764,6.696,111.6,0.9593,30.98,29.94,0.1775848460931373,-0.16651056301383305,-28.956769242293426,-43.351454555007365
2812,2812,2010-10-13,1.0079,0.7161,1.3115,0.6312,1.6574,1.0028,6.6634,7.7599,44.35,1119.0,12.3705,6.81,1.3027,5.3399,81.81,3.0915,5.799,6.6343,111.7,0.9588,30.84,29.83,-0.7386251723458748,-0.052121338475974444,-29.6953944146393,-43.40357589348334
2813,2813,2010-10-14,1.0057,0.7109,1.3186,0.6253,1.6633,1.0036,6.6505,7.7578,44.05,1110.4,12.4156,6.79,1.2972,5.2997,81.44,3.082,5.7426,6.558,111.7,0.953,30.66,29.79,-0.2182756225815985,-0.604922820191911,-29.913670037220896,-44.00849871367525
2814,2814,2010-10-15,1.0118,0.7144,1.3231,0.6239,1.6576,1.0108,6.6397,7.7573,44.15,1109.6,12.415,6.8125,1.2961,5.3268,81.32,3.082,5.7939,6.6209,111.75,0.9562,30.66,29.79,0.6065427065725437,0.3357817418677911,-29.307127330648353,-43.67271697180746
2815,2815,2010-10-18,1.0084,0.7154,1.3208,0.6287,1.6632,1.0145,6.644,7.7569,44.26,1115.0,12.4205,6.866,1.2985,5.3353,81.16,3.0955,5.8244,6.6383,111.67,0.9558,30.75,29.85,-0.3360347894840965,-0.041832252666818004,-29.643162120132448,-43.714549224474275
2816,2816,2010-10-19,1.0248,0.7232,1.3346,0.6354,1.6914,1.0298,6.6444,7.7595,44.3,1126.7,12.4625,6.937,1.3075,5.3935,81.6,3.107,5.8981,6.749,111.8,0.9702,30.89,29.96,1.6263387544625196,1.5065913370998052,-28.01682336566993,-42.20795788737447
2817,2817,2010-10-20,1.0154,0.7169,1.327,0.6306,1.6749,1.0245,6.6518,7.7626,44.25,1124.9,12.4025,6.9192,1.3028,5.3451,81.14,3.12,5.8326,6.6679,111.67,0.9615,30.83,29.88,-0.9172521467603278,-0.8967223252937417,-28.934075512430255,-43.104680212668214
2818,2818,2010-10-21,1.0165,0.7157,1.3332,0.6348,1.693,1.0232,6.6502,7.7638,44.25,1128.4,12.3885,6.916,1.299,5.3376,81.16,3.1045,5.8266,6.6498,111.7,0.9642,30.74,29.81,0.10833169194404135,0.2808112324492962,-28.825743820486213,-42.82386898021892
2819,2819,2010-10-22,1.0221,0.7192,1.3421,0.6379,1.6948,1.0262,6.6583,7.7648,44.52,1125.6,12.4021,6.9526,1.2994,5.364,81.48,3.113,5.8173,6.6408,111.64,0.9792,30.83,29.92,0.5509099852434973,1.555693839452399,-28.274833835242717,-41.268175140766516
2820,2820,2010-10-25,1.0067,0.715,1.3266,0.635,1.7078,1.0197,6.6579,7.7578,44.39,1115.6,12.3278,6.92,1.292,5.3324,80.61,3.092,5.7794,6.5734,111.65,0.9711,30.42,29.82,-1.5067018882692573,-0.8272058823529438,-29.781535723511976,-42.09538102311946
2821,2821,2010-10-26,1.0139,0.7208,1.3337,0.6301,1.7053,1.022,6.6625,7.7583,44.54,1122.0,12.382,6.9271,1.2974,5.3756,81.28,3.095,5.8529,6.7083,111.67,0.9824,30.65,29.88,0.715208105691878,1.1636288744722556,-29.066327617820097,-40.931752148647206
2822,2822,2010-10-27,1.031,0.7253,1.3448,0.6336,1.7164,1.0321,6.6805,7.7587,44.4,1130.0,12.465,7.072,1.306,5.4077,81.55,3.106,5.9003,6.7647,111.53,0.9893,30.74,29.97,1.6865568596508451,0.7023615635179059,-27.37977075816925,-40.2293905851293
2823,2823,2010-10-28,1.0218,0.7179,1.3249,0.6272,1.7119,1.0194,6.6867,7.7561,44.36,1123.0,12.4061,6.99,1.296,5.3547,80.99,3.108,5.8842,6.7193,111.6,0.9834,30.63,29.92,-0.8923375363724451,-0.5963812796927037,-28.272108294541695,-40.825771864822
2824,2824,2010-10-29,1.0206,0.7197,1.3115,0.6242,1.6982,1.0187,6.6707,7.7515,44.44,1124.0,12.3415,6.9755,1.2945,5.3671,80.48,3.11,5.8785,6.7048,111.6,0.985,30.6,29.92,-0.11743981209630938,0.1627008338417557,-28.389548106638003,-40.66307103098025
2825,2825,2010-11-01,1.0124,0.72,1.3028,0.6231,1.7042,1.0133,6.6892,7.7515,44.36,1116.73,12.3417,7.005,1.2916,5.3688,80.66,3.09,5.8667,6.6923,111.65,0.9935,30.5,29.85,-0.8034489515970966,0.8629441624365519,-29.1929970582351,-39.8001268685437
2826,2826,2010-11-02,1.001,0.713,1.2958,0.6246,1.7033,1.0098,6.6775,7.751,44.0,1111.0,12.301,6.915,1.2872,5.3156,80.8,3.0875,5.848,6.6421,111.65,0.9782,30.45,29.79,-1.1260371394705704,-1.540010065425268,-30.31903419770567,-41.34013693396897
2827,2827,2010-11-03,1.0033,0.7136,1.2898,0.6219,1.6985,1.009,6.6758,7.7504,44.38,1109.8,12.2962,6.909,1.2887,5.3195,81.41,3.084,5.8507,6.6479,111.65,0.9793,30.42,29.76,0.22977022977024308,0.11245144142302266,-30.089263967935427,-41.227685492545945
2828,2828,2010-11-04,0.9859,0.703,1.2585,0.6142,1.679,1.0022,6.6609,7.7501,44.08,1106.53,12.2371,6.811,1.2824,5.2405,80.61,3.082,5.7307,6.5145,111.55,0.9629,30.17,29.67,-1.7342768862752989,-1.6746655774532826,-31.823540854210727,-42.90235106999923
2829,2829,2010-11-05,0.9864,0.7126,1.2588,0.6169,1.6831,1.0012,6.655,7.7506,43.9,1107.7,12.2121,6.793,1.2862,5.3094,81.35,3.082,5.7645,6.5991,111.4,0.958,30.19,29.61,0.050715082665586664,-0.5088794267317454,-31.77282577154514,-43.41123049673097
2830,2830,2010-11-08,0.9868,0.718,1.2655,0.6192,1.6974,1.0021,6.6791,7.7506,44.29,1114.0,12.246,6.85,1.2869,5.3514,81.14,3.091,5.804,6.6954,111.48,0.9642,30.18,29.58,0.040551500405516805,0.6471816283924792,-31.732274271139623,-42.76404886833849
2831,2831,2010-11-09,0.9881,0.7212,1.2711,0.6231,1.6987,1.0013,6.6424,7.7508,44.25,1111.4,12.2155,6.8354,1.2855,5.3759,81.15,3.095,5.8116,6.6931,111.58,0.9646,30.14,29.49,0.13173895419538173,0.041485169052069004,-31.600535316944242,-42.722563699286425
2832,2832,2010-11-10,0.9975,0.7284,1.2802,0.6222,1.709,1.0016,6.6335,7.7505,44.28,1109.6,12.256,6.896,1.2885,5.4277,82.53,3.087,5.8828,6.754,111.62,0.9739,30.12,29.58,0.9513207165266824,0.9641302094132165,-30.649214600417558,-41.75843348987321
2834,2834,2010-11-12,1.0095,0.7299,1.2877,0.6184,1.72,1.0079,6.6368,7.7511,44.78,1127.2,12.2678,6.907,1.2934,5.4407,82.44,3.109,5.9462,6.8407,111.6,0.9758,30.22,29.79,1.2030075187969835,0.1950918985522243,-29.446207081620575,-41.56334159132099
2835,2835,2010-11-15,1.0097,0.7345,1.287,0.6225,1.7216,1.0064,6.6418,7.7523,45.11,1134.7,12.2862,6.9525,1.3009,5.4744,82.9,3.137,5.9815,6.8656,111.68,0.9837,30.19,29.89,0.01981178801386818,0.809592129534753,-29.426395293606706,-40.75374946178624
2836,2836,2010-11-16,1.0251,0.7398,1.3031,0.6297,1.7378,1.0231,6.6378,7.7543,45.51,1129.8,12.445,7.05,1.3046,5.5149,83.41,3.129,6.0589,6.9486,111.68,0.9924,30.25,29.9,1.5252055065861025,0.8844159804818563,-27.901189787020606,-39.86933348130439
2837,2837,2010-11-17,1.0182,0.7377,1.2953,0.6273,1.7227,1.0205,6.6415,7.7559,45.09,1143.75,12.3633,7.0204,1.3017,5.4989,83.15,3.129,6.0149,6.9169,111.45,0.9895,30.44,30.01,-0.673105062920687,-0.2922208786779401,-28.574294849941293,-40.161554359982325
2838,2838,2010-11-18,1.0111,0.7343,1.2865,0.6246,1.7137,1.0172,6.633,7.7527,45.14,1129.9,12.2951,7.0028,1.2963,5.4744,83.64,3.118,5.9963,6.8791,111.65,0.9969,30.27,29.95,-0.6973089766254104,0.7478524507327,-29.271603826566704,-39.413701909249625
2839,2839,2010-11-19,1.0156,0.7324,1.2868,0.6265,1.7204,1.0206,6.6398,7.7536,45.25,1131.15,12.3,7.0165,1.298,5.4604,83.49,3.113,5.99,6.8709,111.65,0.9979,30.27,29.96,0.4450598358223701,0.10031096398837036,-28.826543990744334,-39.313390945261254
2840,2840,2010-11-22,1.0135,0.7346,1.2952,0.6277,1.7223,1.0187,6.6414,7.754,45.48,1126.0,12.3001,6.9952,1.2981,5.4774,83.46,3.1,6.0154,6.8924,111.35,0.9917,30.15,29.92,-0.2067743205986572,-0.6213047399538985,-29.033318311342992,-39.934695685215154
2841,2841,2010-11-23,1.0277,0.7469,1.3127,0.632,1.7378,1.024,6.6433,7.7588,45.56,1162.0,12.473,7.0976,1.3129,5.5686,82.86,3.127,6.107,6.9856,111.3,0.9951,30.51,30.03,1.4010853478046315,0.34284561863466845,-27.63223296353836,-39.591850066580484
2842,2842,2010-11-24,1.0181,0.7491,1.3115,0.634,1.723,1.011,6.6529,7.7593,45.72,1146.0,12.4016,7.068,1.3085,5.5796,83.38,3.135,6.0787,6.942,111.2,0.9945,30.44,29.99,-0.934124744575271,-0.06029544769369233,-28.56635770811363,-39.652145514274174
2844,2844,2010-11-26,1.0373,0.7551,1.3324,0.6404,1.7268,1.0188,6.6675,7.7634,45.82,1153.95,12.494,7.121,1.3194,5.6274,84.08,3.1525,6.1563,6.9969,111.42,1.0016,30.46,30.26,1.8858658285040963,0.7139265962795349,-26.680491879609534,-38.93821891799464
2845,2845,2010-11-29,1.0423,0.7638,1.3428,0.6428,1.7282,1.0227,6.66,7.7656,45.8,1164.05,12.5668,7.1671,1.3223,5.6917,84.34,3.15,6.1988,7.013,111.4,1.0012,30.52,30.18,0.48202063048297106,-0.039936102236415305,-26.198471249126563,-38.97815502023106
2846,2846,2010-11-30,1.0409,0.7671,1.3432,0.6419,1.7146,1.0266,6.667,7.7649,45.83,1157.2,12.454,7.0855,1.3202,5.7171,83.56,3.165,6.1871,7.0125,111.35,0.9985,30.47,30.17,-0.1343183344526544,-0.26967638833400587,-26.332789583579217,-39.24783140856506
2847,2847,2010-12-01,1.0336,0.7605,1.3339,0.6409,1.703,1.016,6.663,7.7665,45.29,1149.0,12.3735,7.01,1.309,5.6679,84.0,3.15,6.1362,6.9666,111.14,0.9997,30.37,30.04,-0.7013161687001501,0.12018027040561208,-27.034105752279366,-39.12765113815945
2848,2848,2010-12-02,1.0231,0.756,1.3226,0.6406,1.7015,1.0045,6.6609,7.7659,45.09,1148.0,12.3471,6.8865,1.3062,5.6329,83.53,3.151,6.0776,6.9024,111.22,0.9901,30.34,30.01,-1.01586687306503,-0.9602880864259311,-28.049972625344395,-40.087939224585384
2849,2849,2010-12-03,1.0125,0.7481,1.3115,0.636,1.6859,1.0059,6.6628,7.7616,44.9,1136.5,12.3549,6.8537,1.303,5.5753,82.73,3.146,5.9936,6.8257,111.23,0.9764,30.22,30.03,-1.0360668556348318,-1.3836986163013765,-29.086039480979228,-41.47163784088676
2850,2850,2010-12-06,1.0118,0.7533,1.3156,0.6378,1.6848,1.0056,6.6483,7.7612,44.89,1136.7,12.387,6.887,1.3055,5.6122,82.7,3.143,6.0156,6.86,111.15,0.9848,30.14,30.01,-0.06913580246913353,0.8603031544448969,-29.15517528344836,-40.61133468644186
2851,2851,2010-12-07,1.0107,0.7506,1.3132,0.6328,1.6809,1.0093,6.6455,7.763,44.7,1130.0,12.4255,6.88,1.3035,5.5938,83.04,3.143,5.9751,6.8604,111.1,0.9828,30.08,29.98,-0.10871713777427239,-0.2030869212022779,-29.263892421222636,-40.814421607644135
2852,2852,2010-12-08,1.0225,0.7552,1.3365,0.6332,1.6901,1.01,6.6616,7.768,45.0,1142.5,12.4362,6.9321,1.3147,5.6302,84.16,3.1445,6.0289,6.8921,110.85,0.9879,30.16,30.1,1.167507667952905,0.5189255189255171,-28.09638475326973,-40.29549608871862
2853,2853,2010-12-09,1.018,0.7572,1.3392,0.6356,1.7064,1.0098,6.6549,7.7731,45.13,1140.0,12.4725,6.8855,1.312,5.6455,83.85,3.14,6.0446,6.9052,110.83,0.9846,30.16,30.06,-0.4400977995109967,-0.33404190707561066,-28.53648255278073,-40.62953799579423
2854,2854,2010-12-10,1.0146,0.7552,1.3358,0.6326,1.7183,1.0091,6.655,7.7737,45.1,1143.0,12.4542,6.8401,1.3083,5.6277,83.87,3.131,5.9929,6.8905,110.9,0.9796,30.17,30.04,-0.333988212180758,-0.5078204346942949,-28.87047076496149,-41.137358430488526
2855,2855,2010-12-13,1.0058,0.7469,1.3242,0.6296,1.7054,1.0046,6.6652,7.778,45.18,1144.9,12.3855,6.842,1.3043,5.567,83.57,3.138,5.9232,6.8393,110.84,0.9668,30.01,30.03,-0.8673368815296567,-1.3066557778685262,-29.737807646491145,-42.44401420835705
2856,2856,2010-12-14,1.0002,0.7465,1.3273,0.6331,1.6945,1.0039,6.6563,7.7727,45.01,1139.0,12.3633,6.8251,1.3012,5.564,83.52,3.127,5.889,6.801,110.71,0.961,29.89,29.99,-0.556770729767353,-0.5999172527927255,-30.2945783762585,-43.04393146114978
2857,2857,2010-12-15,1.0084,0.7515,1.3439,0.6405,1.6979,1.0033,6.6541,7.7757,45.38,1154.95,12.3965,6.826,1.3126,5.5989,84.04,3.136,5.9385,6.8143,110.85,0.9619,29.87,30.05,0.8198360327934306,0.09365244536940764,-29.474742343465067,-42.950279015780374
2858,2858,2010-12-16,1.0136,0.7572,1.3572,0.6405,1.7048,1.0056,6.6635,7.7771,45.54,1155.0,12.4496,6.838,1.3163,5.6399,84.23,3.135,5.9665,6.8305,111.0,0.966,29.85,30.13,0.5156683855612965,0.42623973386006764,-28.95907395790377,-42.52403928192031
2859,2859,2010-12-17,1.0148,0.7602,1.3587,0.646,1.7134,1.0125,6.6545,7.7768,45.16,1155.05,12.4286,6.8625,1.3164,5.6623,84.15,3.132,5.9998,6.844,111.05,0.9707,29.9,30.13,0.11838989739541006,0.48654244306418626,-28.84068406050836,-42.03749683885612
2860,2860,2010-12-20,1.0067,0.762,1.3472,0.6443,1.7081,1.0176,6.6745,7.7756,45.4,1154.1,12.4115,6.8425,1.3165,5.6759,83.72,3.1435,5.9847,6.8473,111.15,0.9638,29.92,30.15,-0.7981868348443055,-0.7108272380756175,-29.638870895352664,-42.74832407693174
2861,2861,2010-12-21,1.0028,0.7616,1.3444,0.6467,1.697,1.0173,6.658,7.7735,45.19,1155.15,12.371,6.81,1.3125,5.6733,83.76,3.133,5.973,6.8278,111.2,0.9585,29.85,30.14,-0.3874043905830904,-0.5499066196306246,-30.026275285935753,-43.298230696562364
2862,2862,2010-12-22,0.9997,0.764,1.347,0.6498,1.6958,1.0143,6.645,7.7789,45.05,1153.9,12.3311,6.79,1.3068,5.6921,83.56,3.13,5.9988,6.8648,111.18,0.9503,29.82,30.14,-0.309134423613866,-0.8555033907146514,-30.33540970954962,-44.153734087277016
2863,2863,2010-12-23,0.9949,0.7633,1.3353,0.6494,1.6938,1.0095,6.645,7.7778,45.06,1151.9,12.3353,6.7401,1.3046,5.6889,82.97,3.115,5.9803,6.8529,110.89,0.962,29.82,30.14,-0.4801440432129711,1.2311901504787892,-30.81555375276259,-42.92254393679823
2865,2865,2010-12-27,0.9974,0.7607,1.3371,0.6501,1.6897,1.0086,6.6306,7.7833,45.26,1148.9,12.3661,6.737,1.3005,5.6678,82.91,3.0935,5.9578,6.8315,111.15,0.9626,29.48,30.16,0.25128153583273694,0.06237006237006515,-30.56427221692985,-42.86017387442816
2866,2866,2010-12-28,0.9889,0.7621,1.3238,0.651,1.6898,1.0006,6.6247,7.7803,45.0,1143.0,12.3623,6.69,1.2967,5.6796,82.21,3.093,5.9555,6.863,110.9,0.9516,29.46,30.16,-0.8522157609785364,-1.1427384167878696,-31.41648797790839,-44.002912291216035
2867,2867,2010-12-29,0.9849,0.7586,1.3065,0.6467,1.681,1.0004,6.62,7.7821,44.97,1143.0,12.36,6.649,1.2942,5.6546,81.9,3.088,5.9271,6.8247,110.93,0.9496,29.28,30.15,-0.40448983719284515,-0.21017234131988083,-31.820977815101234,-44.21308463253592
2868,2868,2010-12-30,0.9879,0.7536,1.3009,0.6497,1.6631,1.0009,6.6,7.781,44.8,1130.6,12.3825,6.67,1.2885,5.6183,81.67,3.082,5.8904,6.7571,110.9,0.9369,29.14,30.16,0.30459945172098823,-1.3374052232518974,-31.516378363380245,-45.550489855787816
2870,2870,2011-01-03,0.9804,0.7479,1.288,0.6456,1.6452,0.9903,6.5895,7.7683,44.59,1124.3,12.2535,6.611,1.2842,5.5724,81.56,3.0635,5.8244,6.6916,110.9,0.9329,29.08,30.05,-0.7591861524445798,-0.42693990820792393,-32.275564515824826,-45.977429763995744
2871,2871,2011-01-04,0.9956,0.7515,1.3034,0.6416,1.6687,0.9985,6.6065,7.7694,44.9,1124.2,12.2545,6.6922,1.2874,5.6013,81.96,3.0635,5.8691,6.7284,110.8,0.9478,29.17,30.08,1.5503875968992276,1.5971701146961115,-30.725176918925598,-44.38025964929963
2872,2872,2011-01-05,0.9997,0.7592,1.3127,0.6453,1.6694,0.9946,6.585,7.7704,45.35,1127.3,12.1964,6.7185,1.2911,5.6582,83.22,3.066,5.9028,6.7653,110.8,0.9644,29.17,30.2,0.41181197267978753,1.7514243511289385,-30.313364946245812,-42.62883529817069
2873,2873,2011-01-06,1.0041,0.7676,1.3177,0.6456,1.688,0.9953,6.626,7.7735,45.15,1121.0,12.2361,6.785,1.2949,5.7193,83.15,3.07,5.9555,6.858,110.78,0.963,29.26,30.24,0.44013203961188463,-0.1451679800912542,-29.873232906633927,-42.774003278261944
2874,2874,2011-01-07,1.0046,0.7726,1.3189,0.6427,1.685,0.9932,6.6276,7.7714,45.35,1120.2,12.244,6.805,1.2945,5.7555,83.04,3.068,5.9688,6.8977,110.8,0.965,29.36,30.32,0.04979583706801183,0.20768431983384517,-29.823437069565916,-42.5663189584281
2875,2875,2011-01-10,1.0064,0.7725,1.3104,0.6417,1.6921,0.9923,6.6364,7.7774,45.36,1128.1,12.24,6.8336,1.2986,5.754,82.78,3.078,5.9766,6.8793,110.75,0.9686,29.26,30.63,0.1791757913597536,0.3730569948186657,-29.644261278206162,-42.19326196360943
2876,2876,2011-01-11,1.0129,0.7705,1.3156,0.6399,1.6899,0.9901,6.6185,7.7759,45.08,1124.0,12.1765,6.873,1.2938,5.7389,83.36,3.07,5.9497,6.8374,110.6,0.9755,29.13,30.51,0.6458664546899806,0.7123683667148439,-28.998394823516183,-41.48089359689459
2877,2877,2011-01-12,1.0066,0.7653,1.3161,0.6363,1.6761,0.9864,6.6037,7.7737,45.02,1111.6,12.0589,6.8305,1.2892,5.7011,83.29,3.0608,5.9159,6.7707,110.7,0.9717,29.18,30.37,-0.6219765031098778,-0.3895438236801718,-29.62037132662606,-41.87043742057476
2878,2878,2011-01-13,0.9997,0.7483,1.2987,0.6301,1.6666,0.9866,6.6044,7.7738,45.02,1111.2,12.0887,6.804,1.2842,5.5743,82.72,3.053,5.8466,6.6903,110.72,0.9624,28.98,30.37,-0.6854758593284216,-0.9570855202222894,-30.30584718595448,-42.82752294079705
2879,2879,2011-01-14,1.0115,0.7503,1.3021,0.63,1.6819,0.9902,6.5876,7.7741,45.41,1114.55,12.0582,6.9391,1.2886,5.5894,82.99,3.058,5.8647,6.6924,110.72,0.9657,29.02,30.49,1.1803541062318734,0.3428927680797944,-29.125493079722606,-42.48463017271726
2881,2881,2011-01-18,1.002,0.7463,1.2979,0.625,1.6725,0.9912,6.5828,7.7773,45.32,1111.0,12.0451,6.915,1.2824,5.5605,82.66,3.056,5.8356,6.6582,110.78,0.9633,29.02,30.46,-0.9391992090954093,-0.24852438645541763,-30.064692288818016,-42.733154559172675
2882,2882,2011-01-19,0.997,0.741,1.2953,0.6254,1.6704,0.9938,6.5823,7.7775,45.5,1113.2,12.0681,6.9701,1.2815,5.5214,82.03,3.051,5.812,6.603,110.78,0.9585,29.02,30.46,-0.4990019960079861,-0.4982871379632492,-30.563694284826003,-43.23144169713592
2883,2883,2011-01-20,1.0134,0.7439,1.3224,0.6299,1.6735,1.0001,6.5852,7.7858,45.77,1124.1,12.0798,7.0776,1.2887,5.5428,83.02,3.051,5.8775,6.6683,110.9,0.9656,29.24,30.62,1.6449348044132561,0.7407407407407307,-28.918759480412746,-42.49070095639519
2884,2884,2011-01-21,1.0109,0.7363,1.3193,0.6251,1.6705,0.9943,6.5831,7.7891,45.58,1118.0,12.057,7.05,1.283,5.4881,82.63,3.06,5.8129,6.6026,111.0,0.959,29.08,30.69,-0.2466942964278851,-0.6835128417564285,-29.165453776840632,-43.17421379815161
2885,2885,2011-01-24,0.9999,0.7324,1.3084,0.6252,1.6695,0.9933,6.5809,7.7978,45.51,1118.0,12.0422,7.0165,1.2806,5.4573,82.44,3.054,5.7811,6.5745,110.82,0.9488,29.05,30.89,-1.08813928182806,-1.0636079249217945,-30.25359305866869,-44.23782172307341
2886,2886,2011-01-25,1.0091,0.7329,1.3089,0.6322,1.67,0.9984,6.5824,7.7922,45.7,1121.6,12.0855,7.075,1.2819,5.4628,82.35,3.051,5.7694,6.5468,110.85,0.9451,29.02,30.94,0.9200920092009346,-0.38996627318718113,-29.333501049467756,-44.627787996260594
2887,2887,2011-01-26,1.0052,0.7306,1.305,0.6295,1.6682,0.9954,6.5814,7.7859,45.46,1116.0,12.039,7.0951,1.2793,5.4444,82.27,3.05,5.7554,6.4711,110.75,0.9436,29.06,30.8,-0.38648300465761176,-0.15871336366523048,-29.71998405412537,-44.78650135992582
2888,2888,2011-01-27,1.0094,0.7306,1.2957,0.6287,1.6746,0.994,6.5814,7.7876,45.68,1114.3,12.0415,7.0387,1.2791,5.444,83.03,3.0515,5.7992,6.4493,111.05,0.9464,29.03,30.92,0.41782729805013297,0.29673590504450953,-29.302156756075235,-44.489765454881315
2889,2889,2011-01-28,1.0075,0.7349,1.2947,0.6314,1.6845,0.9989,6.5819,7.7927,45.83,1115.6,12.14,7.171,1.2841,5.4767,82.03,3.054,5.8295,6.5284,111.05,0.9429,29.05,31.01,-0.1882306320586502,-0.36982248520710526,-29.490387388133886,-44.85958794008842
2890,2890,2011-01-31,1.0024,0.7291,1.2928,0.6234,1.6739,1.002,6.6017,7.7926,45.92,1119.1,12.1541,7.1776,1.2794,5.435,81.97,3.06,5.7759,6.4318,110.85,0.9402,29.03,30.86,-0.5062034739454213,-0.2863506204263344,-29.99659086207931,-45.14593856051475
